iteration,local_LB,local_UB,repeat_served,miss_served
1,144,2924,5;,1;2;3;4;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;
2,171.0,2916,5;,1;2;3;4;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;
3,188.0,2914,,1;2;3;4;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;
4,202.5,2173,17;,1;2;3;6;8;9;10;11;12;13;16;20;21;23;24;25;26;27;28;29;30;
5,209.5,2169,5;,6;7;8;9;10;11;12;13;14;15;16;20;21;23;24;25;26;27;28;29;30;
6,222.5,2541,,1;2;6;8;9;10;11;12;13;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;
7,229.0,1813,18;19;,1;3;8;9;10;11;12;13;15;20;24;25;26;27;28;29;30;
8,236.5,1954,12;14;15;16;17;21;,1;2;5;6;7;8;9;10;11;13;20;24;25;26;27;28;29;30;
9,241.5,1623,7;,1;8;9;10;11;13;18;20;24;25;26;27;28;29;30;
10,251.5,1454,4;7;17;,2;8;9;14;15;23;24;25;26;27;28;29;30;
11,256.5,1297,10;11;12;14;16;21;,6;8;9;19;24;25;26;27;28;29;30;
12,259.0,1165,,6;7;8;9;23;25;26;27;29;30;
13,257.0,823,23;28;,1;8;9;25;29;30;
14,260.0,1042,1;2;3;4;5;7;10;22;,16;21;25;26;27;28;29;30;
15,248.0,1248,16;21;26;27;28;,1;2;3;4;5;7;20;22;24;25;
16,260.5,677,18;20;22;24;,11;16;21;30;
17,260.5,676,11;12;16;21;,18;23;26;30;
18,254.5,490,18;26;,16;21;
19,248.5,291,,
20,248.5,1374,1;2;3;6;7;16;21;23;,11;12;13;14;15;18;22;25;26;27;28;
21,263.5,1195,5;6;8;9;10;16;21;26;30;,11;12;13;15;18;20;22;24;28;
22,269.5,902,5;13;23;24;26;30;,14;17;18;19;21;28;
23,266.5,1020,4;14;17;,5;8;9;10;20;24;25;27;
24,273.5,788,19;20;22;27;28;,1;3;4;23;26;
25,240.5,585,10;23;24;,16;17;22;
26,255.5,392,16;,14;
27,246.5,295,,
28,246.5,1570,1;2;3;4;6;7;14;,10;11;12;13;16;18;19;20;22;24;27;28;29;
29,276.5,775,3;14;15;16;21;,7;10;20;24;27;
30,273.5,989,1;3;13;20;24;25;,8;9;10;11;12;15;23;
31,267.5,803,5;18;25;26;30;,3;4;7;13;20;
32,261.5,775,3;4;7;10;17;,16;19;21;23;26;
33,243.5,579,14;16;19;,2;10;24;
34,258.5,493,2;16;,14;19;
35,252.5,701,11;14;19;24;,5;7;15;16;
36,249.5,687,7;15;28;29;,11;14;24;25;
37,228.5,690,5;11;24;25;,7;16;28;29;
38,234.5,603,7;16;21;,2;5;12;
39,240.5,512,2;12;,16;21;
40,231.5,587,14;16;23;,2;24;25;
41,219.5,793,2;5;21;24;25;,7;11;14;19;23;
42,225.5,492,7;19;,21;29;
43,210.5,400,29;,24;
44,225.5,391,24;,15;
45,216.5,295,,
46,216.5,2184,11;13;15;16;20;21;,1;2;3;4;5;7;12;17;18;19;22;23;24;25;26;27;28;29;30;
47,243.5,1503,11;13;14;15;20;21;23;26;28;29;30;,1;2;3;5;16;17;18;19;22;24;25;27;
48,252.5,976,1;2;10;11;15;17;18;,5;7;19;24;25;26;30;
49,279.5,905,8;9;14;26;27;30;,1;2;11;13;20;24;
50,264.5,492,24;26;,14;18;
51,264.5,480,18;19;,10;26;
52,258.5,499,23;25;,10;17;
53,240.5,571,10;17;20;,7;23;30;
54,255.5,566,4;21;23;,24;25;27;
55,249.5,796,7;10;15;26;27;,4;13;17;20;21;
56,207.5,691,1;13;17;24;,16;23;26;27;
57,237.5,484,16;,10;15;
58,255.0,493,14;15;,1;13;
59,210.0,404,27;,14;
60,213.0,503,13;25;,27;29;
61,222.0,389,23;,25;
62,246.0,298,,
