iteration,local_LB,local_UB,repeat_served,miss_served
63,246.0,1638,5;10;14;26;27;29;30;,1;2;3;7;13;15;16;17;20;21;22;23;24;
64,273.0,1085,1;3;7;14;22;28;29;,8;9;13;15;16;17;23;26;
65,279.0,1126,14;20;25;26;27;30;,6;15;17;18;19;22;23;28;
66,258.0,872,17;19;22;28;29;,5;20;24;25;26;30;
67,273.0,702,20;23;24;25;,6;17;19;22;
68,258.0,483,17;22;,21;23;
69,258.0,289,,
70,258.0,1465,1;2;4;5;6;11;13;20;21;23;,3;7;8;9;10;14;16;17;24;25;28;30;
71,273.0,1258,1;3;4;6;11;13;15;16;21;,19;22;23;24;25;26;27;28;29;30;
72,273.0,683,5;14;19;27;,13;17;20;24;
73,279.0,919,20;24;25;26;30;,1;2;5;14;16;18;
74,255.0,982,1;2;5;17;18;21;23;,7;10;11;12;14;15;22;
75,237.0,965,6;7;10;11;12;14;15;,5;23;24;25;26;27;30;
76,252.0,701,16;23;26;27;,17;18;20;28;
77,240.0,811,18;25;28;29;30;,1;3;7;13;16;
78,234.0,958,1;3;5;7;13;20;,6;12;15;25;28;29;30;
79,253.0,503,6;16;,5;10;
80,241.0,496,5;10;,6;16;
81,253.0,405,16;,5;
82,259.0,406,25;,16;
83,253.0,298,,
84,253.0,1980,11;12;13;15;16;17;19;22;28;29;,1;2;3;4;6;7;8;9;10;14;18;20;21;23;24;25;26;
85,274.0,885,4;5;6;8;9;29;,7;18;20;24;25;27;
86,274.0,1074,12;15;17;18;22;27;28;29;,3;8;9;13;16;20;24;25;
87,274.0,892,7;13;16;20;21;24;,1;2;4;14;23;27;
88,271.0,586,14;28;30;,13;20;29;
89,271.0,905,3;4;5;24;29;30;,7;17;18;19;22;28;
90,256.0,767,7;17;18;19;22;,3;11;13;24;29;
91,259.0,602,3;13;24;,4;14;18;
92,265.0,489,6;18;,3;7;
93,259.0,291,,
94,259.0,2062,1;2;3;4;7;8;9;10;11;12;14;,5;6;13;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;
95,271.0,886,17;19;20;27;28;29;,7;11;12;15;22;30;
96,259.0,1156,1;2;3;4;11;12;13;15;16;,17;20;21;23;24;25;26;27;30;
97,271.0,1134,20;24;25;26;27;29;30;,1;2;3;4;7;18;19;21;
98,271.0,854,1;2;3;4;22;23;,20;24;25;26;29;30;
99,238.0,710,20;25;29;30;,1;17;22;23;
100,256.0,582,17;22;26;,14;19;20;
计算总用时9977.335086584091秒
