iteration,local_LB,local_UB,repeat_served,miss_served
1,14,156,,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;
2,20.0,156,,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;
3,26.0,156,,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;
4,32.0,156,,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;
5,38.0,140,,1;2;3;4;5;6;7;8;10;12;13;14;15;
6,44.5,140,,1;2;3;4;5;6;7;8;10;12;13;14;15;
7,51.0,140,,1;2;3;4;5;6;7;8;10;12;13;14;15;
8,56.5,140,,1;2;3;4;5;6;7;8;10;12;13;14;15;
9,62.0,128,,1;2;3;4;5;6;7;8;10;13;14;
10,66.5,116,,1;2;3;4;5;7;10;13;14;
11,70.0,106,6;8;9;,1;3;7;10;13;
12,73.0,104,,1;3;7;9;10;13;
13,76.0,104,,1;3;7;10;11;13;
14,77.5,98,11;,1;3;7;10;13;
15,81.0,104,,1;3;7;10;11;13;
16,82.5,98,11;,1;3;7;10;13;
17,85.0,90,,7;10;13;
18,86.5,96,6;8;,10;13;
19,87.0,90,,7;10;13;
20,88.5,90,,7;10;13;
21,90.0,90,,7;10;
22,90.5,90,,7;10;
23,91.5,96,6;8;,10;13;
24,88.0,120,13;,6;8;
25,90.5,92,,7;
26,87.5,100,,15;
27,89.0,100,,4;
28,89.0,98,15;,13;
29,89.5,98,,
30,89.5,137,4;7;8;13;,2;3;10;11;
31,90.5,120,9;11;13;,1;2;3;5;
32,95.0,116,7;,9;
33,95.0,98,,
34,95.0,100,,15;
35,95.5,100,,15;
36,95.5,100,,12;
37,93.0,100,,15;
38,89.5,100,,14;
39,87.0,96,15;,10;
40,92.5,114,10;,7;15;
计算总用时71.12686586380005秒
