iteration,local_LB,local_UB,repeat_served,miss_served
1,16,254,,1;8;17;28;60;
2,18.0,254,,1;8;17;28;60;
3,20.0,254,,1;8;17;28;60;
4,22.0,254,,1;8;17;28;60;
5,24.0,254,,1;8;17;28;60;
6,26.0,254,,1;8;17;28;60;
7,28.0,254,,1;8;17;28;60;
8,30.0,254,,1;8;17;28;60;
9,32.0,254,,1;8;17;28;60;
10,34.0,254,,1;8;17;28;60;
11,36.0,254,,1;8;17;28;60;
12,38.0,254,,1;8;17;28;60;
13,40.0,254,,1;8;17;28;60;
14,42.0,254,,1;8;17;28;60;
15,44.0,254,,1;8;17;28;60;
16,46.0,254,,1;8;17;28;60;
17,48.0,254,,1;8;17;28;60;
18,50.0,254,,1;8;17;28;60;
19,52.0,254,,1;8;17;28;60;
20,54.0,254,,1;8;17;28;60;
21,56.0,254,,1;8;17;28;60;
22,58.0,254,,1;8;17;28;60;
23,62.0,139,,28;60;
24,63.0,102,,1;
25,64.5,75,17;,
26,64.5,65,,
27,64.5,140,,1;8;
28,64.5,75,17;,
29,64.0,65,,
30,64.0,179,,17;28;60;
31,65.0,65,,
32,65.0,65,,
33,65.0,65,,
34,65.0,65,,
35,65.0,65,,
36,65.0,65,,
37,65.0,65,,
38,65.0,65,,
39,65.0,65,,
40,65.0,65,,
计算总用时28.963669776916504秒
